,timestamp,source,LHA_count_1,LHA_count_2,LHB_count_1,LHB_count_2
92,2023-07-27T15:34:59.615559Z,R,42589,74553,43654,79964
93,2023-07-27T15:34:59.732659Z,R,42583,74552,43655,79966
94,2023-07-27T15:34:59.824078Z,R,42587,74556,43655,79965
95,2023-07-27T15:34:59.910908Z,R,42584,74555,43654,79963
96,2023-07-27T15:35:00.004575Z,R,42584,74559,43655,79965
97,2023-07-27T15:35:00.122698Z,R,42583,74552,43656,79963
98,2023-07-27T15:35:00.207660Z,R,42585,74560,43656,79964
99,2023-07-27T15:35:00.333920Z,R,42587,74566,43654,79962
100,2023-07-27T15:35:00.409748Z,R,42583,74553,43655,79965
101,2023-07-27T15:35:00.526739Z,R,42586,74560,43652,79961
102,2023-07-27T15:35:01.138803Z,R,42587,74560,43654,79966
103,2023-07-27T15:35:01.213807Z,R,42584,74554,43655,79964
104,2023-07-27T15:35:01.321693Z,R,42584,74554,43654,79964
105,2023-07-27T15:35:01.508661Z,R,42584,74554,43652,79969
106,2023-07-27T15:35:01.721004Z,R,42583,74554,43652,79962
107,2023-07-27T15:35:01.918638Z,R,42584,74553,43654,79966
108,2023-07-27T15:35:01.999257Z,R,42583,74555,43656,79963
109,2023-07-27T15:35:02.124846Z,R,42584,74554,43655,79966
110,2023-07-27T15:35:02.217650Z,R,42583,74554,43654,79964
111,2023-07-27T15:35:02.415409Z,R,42584,74552,43654,79962
112,2023-07-27T15:35:02.512625Z,R,42584,74554,43653,79966
113,2023-07-27T15:35:02.606649Z,R,42583,74553,43653,79966
114,2023-07-27T15:35:02.830760Z,R,42587,74556,43661,79963
115,2023-07-27T15:35:02.927804Z,R,42584,74552,43655,79965
116,2023-07-27T15:35:03.000735Z,R,42584,74554,43655,79964
117,2023-07-27T15:35:03.217578Z,R,42584,74552,43654,79962
118,2023-07-27T15:35:03.321647Z,R,42585,74556,43655,79962
119,2023-07-27T15:35:03.432016Z,R,42585,74560,43661,79965
120,2023-07-27T15:35:03.627030Z,R,42584,74560,43654,79963
121,2023-07-27T15:35:03.726597Z,R,42584,74554,43657,79965
122,2023-07-27T15:35:03.818696Z,R,42583,74553,43654,79962
123,2023-07-27T15:35:03.921557Z,R,42583,74553,43656,79967
124,2023-07-27T15:35:03.997633Z,R,42583,74552,43655,79963
125,2023-07-27T15:35:04.117960Z,R,42583,74552,43653,79964
126,2023-07-27T15:35:04.206861Z,R,42583,74554,43655,79966
127,2023-07-27T15:35:04.306686Z,R,42584,74554,43654,79966
128,2023-07-27T15:35:04.428827Z,R,42587,74560,43655,79962
129,2023-07-27T15:35:04.503650Z,R,42584,74555,43653,79962
130,2023-07-27T15:35:04.630993Z,R,42583,74552,43661,79963
131,2023-07-27T15:35:04.729670Z,R,42584,74560,43657,79965
132,2023-07-27T15:35:04.816667Z,R,42585,74554,43655,79966
133,2023-07-27T15:35:04.923490Z,R,42587,74560,43655,79965
134,2023-07-27T15:35:05.008584Z,R,42584,74560,43660,79966
135,2023-07-27T15:35:05.127890Z,R,42587,74560,43653,79962
136,2023-07-27T15:35:05.214622Z,R,42583,74555,43656,79965
137,2023-07-27T15:35:05.524453Z,R,42336,74445,43515,79856
138,2023-07-27T15:35:05.719709Z,R,39863,72965,41944,77969
139,2023-07-27T15:35:05.934998Z,R,38212,71445,40861,76355
140,2023-07-27T15:35:06.129258Z,R,37338,70555,40340,75286
141,2023-07-27T15:35:06.206940Z,R,37326,70467,40322,75146
142,2023-07-27T15:35:06.297914Z,R,37219,70375,40258,75039
143,2023-07-27T15:35:06.404543Z,R,37103,70255,40235,74941
144,2023-07-27T15:35:06.534817Z,R,37128,70233,40266,74960
145,2023-07-27T15:35:06.623892Z,R,37089,70226,40227,74922
146,2023-07-27T15:35:06.722737Z,R,37089,70225,40229,74927
147,2023-07-27T15:35:06.816963Z,R,37128,70212,40269,74925
148,2023-07-27T15:35:06.922853Z,R,37106,70186,40254,74882
149,2023-07-27T15:35:07.001206Z,R,37118,70176,40274,74895
150,2023-07-27T15:35:07.127008Z,R,37116,70176,40281,74893
151,2023-07-27T15:35:07.221713Z,R,37114,70173,40276,74888
152,2023-07-27T15:35:07.330702Z,R,37104,70171,40270,74883
153,2023-07-27T15:35:07.519529Z,R,37089,70156,40258,74865
154,2023-07-27T15:35:07.732833Z,R,37082,70152,40259,74864
155,2023-07-27T15:35:07.813698Z,R,37090,70156,40262,74871
156,2023-07-27T15:35:07.922130Z,R,37089,70155,40263,74873
157,2023-07-27T15:35:08.005184Z,R,37090,70157,40266,74872
158,2023-07-27T15:35:08.131720Z,R,37089,70157,40261,74871
159,2023-07-27T15:35:08.528681Z,R,37089,70155,40260,74873
160,2023-07-27T15:35:08.623963Z,R,37089,70155,40263,74874
161,2023-07-27T15:35:08.707692Z,R,37089,70157,40260,74872
162,2023-07-27T15:35:08.933592Z,R,37093,70163,40268,74875
163,2023-07-27T15:35:09.003815Z,R,37093,70163,40261,74871
164,2023-07-27T15:35:09.126746Z,R,37089,70158,40266,74873
165,2023-07-27T15:35:09.331462Z,R,37093,70165,40260,74870
166,2023-07-27T15:35:09.430527Z,R,37096,70163,40260,74873
167,2023-07-27T15:35:09.530663Z,R,37090,70165,40260,74873
168,2023-07-27T15:35:09.607131Z,R,37089,70155,40261,74875
169,2023-07-27T15:35:09.734468Z,R,37089,70155,40266,74872
170,2023-07-27T15:35:09.803591Z,R,37092,70159,40260,74870
171,2023-07-27T15:35:09.895601Z,R,37090,70157,40260,74873
172,2023-07-27T15:35:10.001824Z,R,37089,70158,40266,74871
173,2023-07-27T15:35:10.144460Z,R,37093,70163,40260,74873
174,2023-07-27T15:35:10.222745Z,R,37092,70163,40260,74872
175,2023-07-27T15:35:10.339743Z,R,37096,70159,40266,74872
176,2023-07-27T15:35:10.405039Z,R,37089,70156,40260,74872
177,2023-07-27T15:35:10.530944Z,R,37093,70163,40260,74871
178,2023-07-27T15:35:10.618082Z,R,37090,70158,40266,74872
179,2023-07-27T15:35:10.717729Z,R,37090,70158,40263,74873
180,2023-07-27T15:35:10.826637Z,R,37096,70165,40260,74872
181,2023-07-27T15:35:10.929357Z,R,37093,70163,40263,74873
182,2023-07-27T15:35:11.002138Z,R,37093,70158,40263,74872
183,2023-07-27T15:35:11.133370Z,R,37089,70155,40266,74872
184,2023-07-27T15:35:11.206700Z,R,37089,70162,40259,74870
185,2023-07-27T15:35:11.332856Z,R,37088,70158,40268,74874
186,2023-07-27T15:35:11.413675Z,R,37088,70155,40262,74871
187,2023-07-27T15:35:11.521752Z,R,37088,70158,40260,74872
188,2023-07-27T15:35:11.709785Z,R,37088,70163,40259,74870
189,2023-07-27T15:35:11.824748Z,R,37089,70158,40266,74872
190,2023-07-27T15:35:12.119750Z,R,37089,70158,40261,74871
191,2023-07-27T15:35:12.200704Z,R,37093,70156,40260,74873
192,2023-07-27T15:35:12.328695Z,R,37093,70158,40263,74873
193,2023-07-27T15:35:12.423128Z,R,37090,70158,40266,74871
194,2023-07-27T15:35:12.518728Z,R,37089,70158,40261,74871
195,2023-07-27T15:35:12.710323Z,R,37089,70158,40259,74873
196,2023-07-27T15:35:12.820050Z,R,37090,70165,40266,74872
197,2023-07-27T15:35:12.930744Z,R,37089,70158,40266,74872
198,2023-07-27T15:35:12.997383Z,R,37089,70158,40263,74874
199,2023-07-27T15:35:13.124753Z,R,37088,70158,40259,74872
200,2023-07-27T15:35:13.216434Z,R,37087,70155,40261,74873
201,2023-07-27T15:35:13.330564Z,R,37093,70158,40266,74872
202,2023-07-27T15:35:13.415718Z,R,37093,70163,40260,74872
203,2023-07-27T15:35:13.539083Z,R,37093,70163,40266,74872
204,2023-07-27T15:35:13.603708Z,R,37093,70158,40261,74871
205,2023-07-27T15:35:13.726815Z,R,37090,70158,40266,74871
206,2023-07-27T15:35:13.804834Z,R,37088,70158,40266,74872
207,2023-07-27T15:35:13.910929Z,R,37092,70163,40261,74870
208,2023-07-27T15:35:14.002418Z,R,37090,70158,40266,74870
209,2023-07-27T15:35:14.326724Z,R,37088,70158,40260,74872
210,2023-07-27T15:35:14.409623Z,R,37089,70155,40266,74870
211,2023-07-27T15:35:14.528082Z,R,37085,70163,40268,74895
212,2023-07-27T15:35:14.601793Z,R,36895,69942,40511,75061
213,2023-07-27T15:35:14.829967Z,R,36444,68371,42031,75742
214,2023-07-27T15:35:14.926756Z,R,36298,67468,43094,75878
215,2023-07-27T15:35:14.998748Z,R,36236,66795,43611,75938
216,2023-07-27T15:35:15.424145Z,R,36084,65730,44492,75771
217,2023-07-27T15:35:15.526341Z,R,36199,65718,44662,75902
218,2023-07-27T15:35:15.627723Z,R,36185,65628,44743,75881
219,2023-07-27T15:35:15.818861Z,R,36208,65523,44802,75799
220,2023-07-27T15:35:15.906538Z,R,36242,65494,44867,75818
221,2023-07-27T15:35:16.003468Z,R,36246,65502,44866,75831
222,2023-07-27T15:35:16.126816Z,R,36248,65503,44865,75829
223,2023-07-27T15:35:16.210687Z,R,36259,65527,44854,75839
224,2023-07-27T15:35:16.421650Z,R,36268,65534,44856,75850
225,2023-07-27T15:35:16.733891Z,R,36269,65553,44839,75840
226,2023-07-27T15:35:16.807735Z,R,36271,65547,44837,75840
227,2023-07-27T15:35:16.923895Z,R,36271,65555,44835,75839
228,2023-07-27T15:35:16.996001Z,R,36271,65547,44837,75837
229,2023-07-27T15:35:17.123788Z,R,36269,65548,44837,75839
230,2023-07-27T15:35:17.315794Z,R,36267,65546,44837,75835
231,2023-07-27T15:35:17.429192Z,R,36266,65542,44837,75836
232,2023-07-27T15:35:17.616959Z,R,36269,65548,44838,75837
233,2023-07-27T15:35:17.715816Z,R,36268,65546,44838,75840
234,2023-07-27T15:35:17.810732Z,R,36270,65546,44838,75840
235,2023-07-27T15:35:17.905366Z,R,36268,65547,44838,75840
236,2023-07-27T15:35:18.019492Z,R,36272,65553,44838,75840
237,2023-07-27T15:35:18.127609Z,R,36271,65544,44838,75841
238,2023-07-27T15:35:18.229388Z,R,36271,65547,44845,75840
239,2023-07-27T15:35:18.314614Z,R,36272,65546,44845,75839
240,2023-07-27T15:35:18.413421Z,R,36272,65547,44839,75841
241,2023-07-27T15:35:18.616806Z,R,36268,65550,44837,75841
242,2023-07-27T15:35:18.732999Z,R,36270,65548,44846,75838
243,2023-07-27T15:35:18.813614Z,R,36270,65549,44839,75839
244,2023-07-27T15:35:18.931530Z,R,36269,65550,44837,75840
245,2023-07-27T15:35:18.995970Z,R,36269,65548,44838,75841
246,2023-07-27T15:35:19.129820Z,R,36272,65544,44836,75841
247,2023-07-27T15:35:19.231767Z,R,36271,65548,44838,75850
248,2023-07-27T15:35:19.312972Z,R,36270,65548,44837,75839
249,2023-07-27T15:35:19.415749Z,R,36269,65549,44838,75840
250,2023-07-27T15:35:19.624793Z,R,36267,65550,44837,75841
251,2023-07-27T15:35:19.713789Z,R,36267,65544,44837,75838
252,2023-07-27T15:35:19.813669Z,R,36269,65548,44836,75838
253,2023-07-27T15:35:19.920074Z,R,36268,65553,44839,75839
254,2023-07-27T15:35:19.994793Z,R,36270,65549,44837,75837
255,2023-07-27T15:35:20.118207Z,R,36267,65544,44838,75841
256,2023-07-27T15:35:20.216808Z,R,36268,65548,44838,75838
257,2023-07-27T15:35:20.301334Z,R,36267,65545,44837,75841
258,2023-07-27T15:35:20.427691Z,R,36271,65548,44839,75840
259,2023-07-27T15:35:20.526416Z,R,36269,65548,44838,75841
260,2023-07-27T15:35:20.629499Z,R,36268,65550,44837,75840
261,2023-07-27T15:35:20.720892Z,R,36270,65548,44838,75839
262,2023-07-27T15:35:20.806418Z,R,36270,65549,44838,75839
263,2023-07-27T15:35:21.004371Z,R,36268,65544,44839,75840
264,2023-07-27T15:35:21.226647Z,R,36270,65549,44838,75840
265,2023-07-27T15:35:21.429620Z,R,36270,65555,44836,75841
266,2023-07-27T15:35:21.718450Z,R,36270,65549,44838,75839
267,2023-07-27T15:35:21.813183Z,R,36268,65548,44845,75839
268,2023-07-27T15:35:22.115537Z,R,36269,65547,44838,75839
269,2023-07-27T15:35:22.412747Z,R,36270,65547,44839,75840
270,2023-07-27T15:35:22.515730Z,R,36268,65545,44838,75839
271,2023-07-27T15:35:22.832896Z,R,36270,65549,44845,75840
272,2023-07-27T15:35:22.920919Z,R,36270,65549,44835,75841
273,2023-07-27T15:35:22.997756Z,R,36269,65548,44838,75841
274,2023-07-27T15:35:23.130359Z,R,36271,65553,44838,75842
275,2023-07-27T15:35:23.205626Z,R,36270,65549,44837,75841
276,2023-07-27T15:35:23.324809Z,R,36268,65544,44839,75840
277,2023-07-27T15:35:23.407738Z,R,36270,65548,44838,75843
278,2023-07-27T15:35:23.517850Z,R,36271,65544,44845,75839
279,2023-07-27T15:35:23.721818Z,R,36268,65548,44837,75837
280,2023-07-27T15:35:23.814944Z,R,36270,65548,44839,75840
281,2023-07-27T15:35:23.921828Z,R,36268,65544,44838,75840
282,2023-07-27T15:35:24.126831Z,R,36296,65555,44862,75858
283,2023-07-27T15:35:24.196126Z,R,36304,65560,44872,75881
284,2023-07-27T15:35:24.327788Z,R,36278,65673,44791,75958
285,2023-07-27T15:35:24.629768Z,R,40636,69240,47026,80843
286,2023-07-27T15:35:24.733075Z,R,41894,69666,47619,81551
287,2023-07-27T15:35:24.806617Z,R,42679,70046,47947,81926
288,2023-07-27T15:35:24.919819Z,R,43258,70359,48052,82032
289,2023-07-27T15:35:25.125837Z,R,43588,70482,48176,82060
290,2023-07-27T15:35:25.203790Z,R,43585,70497,48150,82033
291,2023-07-27T15:35:25.318889Z,R,43630,70504,48155,82018
292,2023-07-27T15:35:25.443776Z,R,43650,70494,48172,82004
293,2023-07-27T15:35:25.520752Z,R,43652,70479,48183,82011
294,2023-07-27T15:35:25.615974Z,R,43653,70478,48178,82012
295,2023-07-27T15:35:25.733967Z,R,43655,70482,48177,82017
296,2023-07-27T15:35:25.806567Z,R,43660,70500,48173,82012
297,2023-07-27T15:35:25.936832Z,R,43652,70516,48159,82014
298,2023-07-27T15:35:26.006827Z,R,43652,70519,48163,82008
299,2023-07-27T15:35:26.220292Z,R,43663,70530,48165,82019
300,2023-07-27T15:35:26.429802Z,R,43665,70530,48164,82021
301,2023-07-27T15:35:26.527833Z,R,43663,70530,48166,82022
302,2023-07-27T15:35:26.597786Z,R,43663,70526,48163,82021
303,2023-07-27T15:35:26.700348Z,R,43663,70523,48163,82019
304,2023-07-27T15:35:26.818814Z,R,43666,70526,48164,82024
305,2023-07-27T15:35:27.011021Z,R,43666,70526,48163,82024
306,2023-07-27T15:35:27.120340Z,R,43664,70528,48166,82025
307,2023-07-27T15:35:27.212880Z,R,43664,70526,48166,82025
308,2023-07-27T15:35:27.328911Z,R,43667,70529,48168,82025
309,2023-07-27T15:35:27.403185Z,R,43666,70529,48162,82023
310,2023-07-27T15:35:27.526164Z,R,43665,70530,48168,82025
311,2023-07-27T15:35:27.620857Z,R,43666,70532,48166,82023
312,2023-07-27T15:35:27.719410Z,R,43665,70534,48164,82024
313,2023-07-27T15:35:27.833271Z,R,43665,70537,48165,82027
314,2023-07-27T15:35:27.914808Z,R,43663,70530,48165,82025
315,2023-07-27T15:35:28.004053Z,R,43665,70530,48172,82024
316,2023-07-27T15:35:28.110810Z,R,43663,70530,48165,82027
317,2023-07-27T15:35:28.225131Z,R,43663,70527,48172,82024
318,2023-07-27T15:35:28.311839Z,R,43665,70534,48163,82024
319,2023-07-27T15:35:28.414815Z,R,43665,70534,48163,82025
320,2023-07-27T15:35:28.510968Z,R,43666,70529,48166,82025
321,2023-07-27T15:35:28.631861Z,R,43664,70537,48164,82024
322,2023-07-27T15:35:28.710056Z,R,43664,70534,48163,82025
323,2023-07-27T15:35:28.828126Z,R,43667,70537,48164,82024
324,2023-07-27T15:35:28.929845Z,R,43667,70530,48166,82023
325,2023-07-27T15:35:29.007928Z,R,43665,70534,48168,82027
326,2023-07-27T15:35:29.117861Z,R,43663,70529,48160,82022
327,2023-07-27T15:35:29.227253Z,R,43666,70532,48165,82025
328,2023-07-27T15:35:29.310814Z,R,43664,70526,48164,82024
329,2023-07-27T15:35:29.414383Z,R,43665,70534,48165,82023
330,2023-07-27T15:35:29.525184Z,R,43663,70530,48168,82024
331,2023-07-27T15:35:29.620508Z,R,43662,70537,48164,82025
332,2023-07-27T15:35:29.738613Z,R,43665,70532,48172,82024
333,2023-07-27T15:35:29.802812Z,R,43663,70524,48164,82024
334,2023-07-27T15:35:29.917798Z,R,43664,70529,48165,82023
335,2023-07-27T15:35:30.000824Z,R,43663,70527,48159,82023
336,2023-07-27T15:35:30.107909Z,R,43664,70532,48162,82024
