timestamp,frame,x,y
2023-07-24T17:11:49.416083Z,11540,2166.8176651000977,1319.4861710071564
2023-07-24T17:11:49.432766Z,11541,2166.792631149292,1319.4584548473358
2023-07-24T17:11:49.449449Z,11542,2166.9387817382812,1319.3711042404175
2023-07-24T17:11:49.466133Z,11543,2166.6901111602783,1319.4610476493835
2023-07-24T17:11:49.482816Z,11544,2166.5945053100586,1319.5458054542542
2023-07-24T17:11:49.499499Z,11545,2166.658639907837,1319.4549679756165
2023-07-24T17:11:49.516183Z,11546,2166.822910308838,1319.6220695972443
2023-07-24T17:11:49.532866Z,11547,2166.7215824127197,1319.55286860466
2023-07-24T17:11:49.549550Z,11548,2166.9132709503174,1319.4648027420044
2023-07-24T17:11:49.566233Z,11549,2166.87273979187,1319.5661902427673
2023-07-24T17:11:49.582916Z,11550,2166.8365001678467,1319.4615840911865
2023-07-24T17:11:49.599600Z,11551,2166.8953895568848,1319.4252848625183
2023-07-24T17:11:49.616283Z,11552,2166.869640350342,1319.4719552993774
2023-07-24T17:11:49.632966Z,11553,2166.6905879974365,1319.4450438022614
2023-07-24T17:11:49.649650Z,11554,2166.630268096924,1319.5141553878784
2023-07-24T17:11:49.666333Z,11555,2166.637897491455,1319.4615840911865
2023-07-24T17:11:49.683016Z,11556,2166.8031215667725,1319.4540739059448
2023-07-24T17:11:49.699700Z,11557,2166.7778491973877,1319.5121884346008
2023-07-24T17:11:49.716383Z,11558,2166.5964126586914,1319.6968138217926
2023-07-24T17:11:49.733066Z,11559,2166.6805744171143,1319.6828663349152
2023-07-24T17:11:49.749750Z,11560,2166.1980152130127,1319.64772939682
2023-07-24T17:11:49.766433Z,11561,2166.0616397857666,1319.5996284484863
2023-07-24T17:11:49.783116Z,11562,2165.85111618042,1319.5362389087677
2023-07-24T17:11:49.799800Z,11563,2165.573835372925,1319.7148740291595
2023-07-24T17:11:49.816483Z,11564,2165.147066116333,1319.496363401413
2023-07-24T17:11:49.833166Z,11565,2164.8848056793213,1319.4046318531036
2023-07-24T17:11:49.849850Z,11566,2164.7379398345947,1319.225013256073
2023-07-24T17:11:49.866533Z,11567,2164.3166542053223,1319.0811574459076
2023-07-24T17:11:49.883217Z,11568,2164.0119552612305,1318.888396024704
2023-07-24T17:11:49.899900Z,11569,2163.6722087860107,1318.8022077083588
2023-07-24T17:11:49.916583Z,11570,2163.3291244506836,1318.6412751674652
2023-07-24T17:11:49.933267Z,11571,2162.7256870269775,1318.6129331588745
2023-07-24T17:11:49.949950Z,11572,2162.4841690063477,1318.5575902462006
2023-07-24T17:11:49.966633Z,11573,2161.4677906036377,1318.4469044208527
2023-07-24T17:11:49.983317Z,11574,2160.7751846313477,1318.4907138347626
2023-07-24T17:11:50.000000Z,11575,2159.9276065826416,1318.5306787490845
2023-07-24T17:11:50.016683Z,11576,2159.266948699951,1318.556785583496
2023-07-24T17:11:50.033367Z,11577,2158.186674118042,1318.648338317871
2023-07-24T17:11:50.050050Z,11578,2157.485008239746,1318.6085522174835
2023-07-24T17:11:50.066733Z,11579,2156.585454940796,1318.5273706912994
2023-07-24T17:11:50.083417Z,11580,2155.510663986206,1318.6256289482117
2023-07-24T17:11:50.100100Z,11581,2154.4575691223145,1318.6770379543304
2023-07-24T17:11:50.116783Z,11582,2153.4619331359863,1318.8611268997192
2023-07-24T17:11:50.133467Z,11583,2152.268648147583,1318.956434726715
2023-07-24T17:11:50.150150Z,11584,2151.238441467285,1318.9802169799805
2023-07-24T17:11:50.166834Z,11585,2150.404214859009,1318.744719028473
2023-07-24T17:11:50.183517Z,11586,2149.293899536133,1318.6824917793274
2023-07-24T17:11:50.200200Z,11587,2148.418188095093,1318.7717199325562
2023-07-24T17:11:50.216884Z,11588,2147.25923538208,1318.5048401355743
2023-07-24T17:11:50.233567Z,11589,2146.3420391082764,1318.4546828269958
2023-07-24T17:11:50.250250Z,11590,2145.0040340423584,1318.4565603733063
2023-07-24T17:11:50.266934Z,11591,2143.9173221588135,1318.533182144165
2023-07-24T17:11:50.283617Z,11592,2142.6548957824707,1318.6399340629578
2023-07-24T17:11:50.300300Z,11593,2141.547679901123,1318.4970617294312
2023-07-24T17:11:50.316984Z,11594,2140.377998352051,1318.4747099876404
2023-07-24T17:11:50.333667Z,11595,2139.23978805542,1318.5464143753052
2023-07-24T17:11:50.350350Z,11596,2137.6473903656006,1318.6974227428436
2023-07-24T17:11:50.367034Z,11597,2136.324882507324,1318.5499012470245
2023-07-24T17:11:50.383717Z,11598,2135.058879852295,1318.662017583847
2023-07-24T17:11:50.400400Z,11599,2133.6793899536133,1318.5642063617706
2023-07-24T17:11:50.417084Z,11600,2132.2178840637207,1318.5665309429169
2023-07-24T17:11:50.433767Z,11601,2131.0300827026367,1318.6633586883545
2023-07-24T17:11:50.450450Z,11602,2129.6937465667725,1318.4812366962433
2023-07-24T17:11:50.467134Z,11603,2128.4468173980713,1318.4082806110382
2023-07-24T17:11:50.483817Z,11604,2127.2196769714355,1318.2487785816193
2023-07-24T17:11:50.500501Z,11605,2126.1203289031982,1317.7735805511475
2023-07-24T17:11:50.517184Z,11606,2124.911308288574,1317.4845278263092
2023-07-24T17:11:50.533867Z,11607,2123.805284500122,1317.0899748802185
2023-07-24T17:11:50.550551Z,11608,2122.6398944854736,1316.8518841266632
2023-07-24T17:11:50.567234Z,11609,2121.0906505584717,1316.7340457439423
2023-07-24T17:11:50.583917Z,11610,2120.1653480529785,1316.3843750953674
2023-07-24T17:11:50.600601Z,11611,2118.804454803467,1316.2416815757751
