timestamp,frame,source,x,y
2023-07-27T15:36:52.926260Z,16300,R,1487.9164371490479,1097.8624076843262
2023-07-27T15:36:52.942943Z,16301,R,1487.2385520935059,1097.7745292186737
2023-07-27T15:36:52.959626Z,16302,R,1486.5293998718262,1097.6555850505829
2023-07-27T15:36:52.976310Z,16303,R,1485.720160484314,1097.3971474170685
2023-07-27T15:36:52.992993Z,16304,R,1485.1044874191284,1097.3439610004425
2023-07-27T15:36:53.009676Z,16305,R,1484.5049314498901,1097.108490228653
2023-07-27T15:36:53.026360Z,16306,R,1483.931001663208,1096.9524364471436
2023-07-27T15:36:53.043043Z,16307,R,1483.450873374939,1096.798558473587
2023-07-27T15:36:53.059726Z,16308,R,1482.6972379684448,1096.486813545227
2023-07-27T15:36:53.076410Z,16309,R,1482.0341806411743,1096.291836977005
2023-07-27T15:36:53.093093Z,16310,R,1481.208501815796,1096.0324323177338
2023-07-27T15:36:53.109776Z,16311,R,1480.3135194778442,1095.5987212657928
2023-07-27T15:36:53.126460Z,16312,R,1479.5387706756592,1095.3053498268127
2023-07-27T15:36:53.143143Z,16313,R,1478.475525856018,1095.1508674621582
2023-07-27T15:36:53.159826Z,16314,R,1477.3486185073853,1094.6453547477722
2023-07-27T15:36:53.176510Z,16315,R,1476.241696357727,1094.4758834838867
2023-07-27T15:36:53.193193Z,16316,R,1475.3699226379395,1093.867261648178
2023-07-27T15:36:53.209877Z,16317,R,1474.4894456863403,1093.5256597995758
2023-07-27T15:36:53.226560Z,16318,R,1473.648133277893,1093.2127060890198
2023-07-27T15:36:53.243243Z,16319,R,1472.5418558120728,1092.5471506118774
2023-07-27T15:36:53.259927Z,16320,R,1471.9580945968628,1092.531678199768
2023-07-27T15:36:53.276610Z,16321,R,1471.1896314620972,1091.555223941803
2023-07-27T15:36:53.293293Z,16322,R,1470.5712184906006,1091.3315992355347
2023-07-27T15:36:53.309977Z,16323,R,1469.5851745605469,1090.0977952480316
2023-07-27T15:36:53.326660Z,16324,R,1468.8192901611328,1089.6849961280823
2023-07-27T15:36:53.343343Z,16325,R,1467.9185056686401,1088.6675641536713
2023-07-27T15:36:53.360027Z,16326,R,1467.0596256256104,1088.0805795192719
2023-07-27T15:36:53.376710Z,16327,R,1466.374810218811,1087.8663833141327
2023-07-27T15:36:53.393393Z,16328,R,1465.6356801986694,1087.351321220398
2023-07-27T15:36:53.410077Z,16329,R,1464.4881429672241,1087.456727027893
2023-07-27T15:36:53.426760Z,16330,R,1463.31884765625,1087.294750213623
2023-07-27T15:36:53.443443Z,16331,R,1462.2120866775513,1086.7087326049805
2023-07-27T15:36:53.460127Z,16332,R,1461.391565322876,1086.519679069519
2023-07-27T15:36:53.476810Z,16333,R,1460.6596879959106,1086.110143661499
2023-07-27T15:36:53.493493Z,16334,R,1460.017421722412,1085.8254754543304
2023-07-27T15:36:53.510177Z,16335,R,1459.1985120773315,1085.233897447586
2023-07-27T15:36:53.526860Z,16336,R,1458.5921869277954,1084.6216492652893
2023-07-27T15:36:53.543544Z,16337,R,1457.6490144729614,1084.3219921588898
2023-07-27T15:36:53.560227Z,16338,R,1456.605754852295,1083.7148208618164
2023-07-27T15:36:53.576910Z,16339,R,1455.8993425369263,1083.480196237564
2023-07-27T15:36:53.593594Z,16340,R,1454.910397529602,1082.9167828559875
2023-07-27T15:36:53.610277Z,16341,R,1454.0129976272583,1082.3659408092499
2023-07-27T15:36:53.626960Z,16342,R,1453.2904682159424,1081.8285162448883
2023-07-27T15:36:53.643644Z,16343,R,1452.4415807724,1081.2501139640808
2023-07-27T15:36:53.660327Z,16344,R,1451.4176616668701,1080.2695498466492
2023-07-27T15:36:53.677010Z,16345,R,1450.3711786270142,1079.5772802829742
2023-07-27T15:36:53.693694Z,16346,R,1449.4199476242065,1078.99174618721
2023-07-27T15:36:53.710377Z,16347,R,1448.4111785888672,1078.4301459789276
2023-07-27T15:36:53.727060Z,16348,R,1447.5626134872437,1077.7172062397003
2023-07-27T15:36:53.743744Z,16349,R,1446.5746355056763,1077.1180129051208
2023-07-27T15:36:53.760427Z,16350,R,1445.5291194915771,1076.1492948532104
2023-07-27T15:36:53.777110Z,16351,R,1445.046251296997,1075.9412634372711
2023-07-27T15:36:53.793794Z,16352,R,1444.2549018859863,1075.2402906417847
2023-07-27T15:36:53.810477Z,16353,R,1443.6658220291138,1074.6629762649536
2023-07-27T15:36:53.827160Z,16354,R,1442.8150005340576,1074.0468599796295
2023-07-27T15:36:53.843844Z,16355,R,1442.2004556655884,1073.6063797473907
2023-07-27T15:36:53.860527Z,16356,R,1441.3957290649414,1072.7650673389435
2023-07-27T15:36:53.877211Z,16357,R,1440.927043914795,1072.1659948825836
2023-07-27T15:36:53.893894Z,16358,R,1440.3439273834229,1071.3009903430939
2023-07-27T15:36:53.910577Z,16359,R,1439.8280191421509,1070.7988622188568
2023-07-27T15:36:53.927261Z,16360,R,1439.4257364273071,1070.2192511558533
2023-07-27T15:36:53.943944Z,16361,R,1438.1466836929321,1069.8713636398315
2023-07-27T15:36:53.960627Z,16362,R,1436.9994688034058,1069.6108710765839
2023-07-27T15:36:53.977311Z,16363,R,1436.2638845443726,1069.4816522598267
2023-07-27T15:36:53.993994Z,16364,R,1435.556827545166,1069.213181734085
2023-07-27T15:36:54.010677Z,16365,R,1434.7301816940308,1068.6039555072784
2023-07-27T15:36:54.027361Z,16366,R,1434.1528673171997,1068.4254183769226
2023-07-27T15:36:54.044044Z,16367,R,1433.396008491516,1067.824411869049
