,timestamp,LHA_count_1,LHA_count_2,LHB_count_1,LHB_count_2,real_x_mm,real_y_mm,real_z_mm
0,2023-05-04 14:51:36.929733,33944,78973,39628,85053,0,0,160
1,2023-05-04 14:51:37.020555,33944,78971,39630,85056,0,0,160
2,2023-05-04 14:51:37.118954,33952,78972,39628,85054,0,0,160
3,2023-05-04 14:51:37.220425,33944,78973,39628,85054,0,0,160
4,2023-05-04 14:51:37.340264,33944,78971,39633,85058,0,0,160
5,2023-05-04 14:51:37.416635,33945,78972,39629,85054,0,0,160
6,2023-05-04 14:51:37.544562,33945,78972,39633,85058,0,0,160
7,2023-05-04 14:51:37.632389,33947,78971,39633,85056,0,0,160
8,2023-05-04 14:51:37.730446,33944,78973,39633,85054,0,0,160
9,2023-05-04 14:51:37.819800,33947,78971,39630,85054,0,0,160
10,2023-05-04 14:51:37.932795,33944,78972,39629,85054,0,0,160
11,2023-05-04 14:51:38.028187,33945,78971,39630,85054,0,0,160
12,2023-05-04 14:51:38.116136,33947,78972,39629,85054,0,0,160
13,2023-05-04 14:51:38.219191,33944,78971,39629,85052,0,0,160
14,2023-05-04 14:51:38.325493,33944,78971,39633,85054,0,0,160
15,2023-05-04 14:51:38.431030,33944,78971,39634,85054,0,0,160
16,2023-05-04 14:51:38.525690,33945,78972,39629,85056,0,0,160
17,2023-05-04 14:51:38.625292,33944,78973,39629,85052,0,0,160
18,2023-05-04 14:51:38.729900,33944,78971,39629,85053,0,0,160
19,2023-05-04 14:51:38.824799,33944,78973,39628,85053,0,0,160
20,2023-05-04 14:51:38.932527,33947,78972,39629,85052,0,0,160
21,2023-05-04 14:51:39.013390,33944,78971,39628,85053,0,0,160
22,2023-05-04 14:51:39.122765,33944,78971,39633,85053,0,0,160
23,2023-05-04 14:51:39.428574,33945,78971,39633,85054,0,0,160
24,2023-05-04 14:51:39.727578,33945,78972,39630,85054,0,0,160
25,2023-05-04 14:51:39.819221,33949,78970,39628,85052,0,0,160
26,2023-05-04 14:51:39.940173,33944,78971,39631,85052,0,0,160
27,2023-05-04 14:51:40.015940,33944,78971,39630,85051,0,0,160
28,2023-05-04 14:51:40.123544,33945,78971,39627,85054,0,0,160
29,2023-05-04 14:51:40.245496,33952,78973,39629,85053,0,0,160
30,2023-05-04 14:51:40.321493,33944,78971,39626,85051,0,0,160
31,2023-05-04 14:51:40.437497,33947,78974,39629,85054,0,0,160
32,2023-05-04 14:51:40.516093,33945,78973,39633,85054,0,0,160
33,2023-05-04 14:51:40.732996,33943,78971,39633,85054,0,0,160
34,2023-05-04 14:51:40.940927,33952,78971,39630,85054,0,0,160
35,2023-05-04 14:51:41.015595,33945,78972,39629,85054,0,0,160
36,2023-05-04 14:51:41.129807,33944,78972,39629,85052,0,0,160
37,2023-05-04 14:51:41.219022,33944,78977,39628,85054,0,0,160
38,2023-05-04 14:51:41.319877,33952,78974,39630,85054,0,0,160
39,2023-05-04 14:51:41.425965,33945,78972,39629,85053,0,0,160
40,2023-05-04 14:51:41.533506,33947,78972,39629,85053,0,0,160
41,2023-05-04 14:51:41.624205,33952,78973,39629,85053,0,0,160
42,2023-05-04 14:51:41.737756,33944,78971,39629,85056,0,0,160
43,2023-05-04 14:51:42.029252,33945,78971,39630,85056,0,0,160
44,2023-05-04 14:51:42.124586,33945,78972,39631,85058,0,0,160
45,2023-05-04 14:51:42.231261,33944,78973,39633,85052,0,0,160
46,2023-05-04 14:51:42.320539,33947,78974,39629,85052,0,0,160
47,2023-05-04 14:51:42.437050,33949,78971,39628,85053,0,0,160
48,2023-05-04 14:51:42.517019,33947,78973,39629,85053,0,0,160
49,2023-05-04 14:51:42.633001,33943,78970,39630,85054,0,0,160
50,2023-05-04 14:51:42.721332,33947,78974,39629,85054,0,0,160
51,2023-05-04 14:51:42.819291,33944,78971,39629,85053,0,0,160
52,2023-05-04 14:51:42.932076,33946,78972,39630,85053,0,0,160
53,2023-05-04 14:51:43.030129,33952,78972,39627,85053,0,0,160
54,2023-05-04 14:51:43.144145,33947,78972,39633,85054,0,0,160
55,2023-05-04 14:51:43.329736,33945,78972,39630,85054,0,0,160
56,2023-05-04 14:51:43.428707,33943,78971,39630,85053,0,0,160
57,2023-05-04 14:51:43.512475,33944,78971,39630,85054,0,0,160
58,2023-05-04 14:51:43.638051,33947,78973,39633,85054,0,0,160
59,2023-05-04 14:51:43.721008,33947,78974,39630,85053,0,0,160
60,2023-05-04 14:51:43.831960,33947,78972,39629,85053,0,0,160
61,2023-05-04 14:51:43.924065,33947,78972,39630,85056,0,0,160
62,2023-05-04 14:51:44.019913,33947,78974,39629,85056,0,0,160
63,2023-05-04 14:51:44.113512,33945,78971,39633,85052,0,0,160
64,2023-05-04 14:51:44.320548,33945,78973,39630,85054,0,0,160
65,2023-05-04 14:51:44.527295,33944,78973,39628,85053,0,0,160
66,2023-05-04 14:51:44.637906,33947,78972,39630,85058,0,0,160
67,2023-05-04 14:51:44.714505,33944,78971,39630,85054,0,0,160
68,2023-05-04 14:51:44.828317,33945,78972,39628,85054,0,0,160
69,2023-05-04 14:51:45.030733,33946,78972,39629,85052,0,0,160
70,2023-05-04 14:51:45.116271,33944,78970,39633,85054,0,0,160
71,2023-05-04 14:51:45.227715,33944,78972,39630,85054,0,0,160
72,2023-05-04 14:51:45.321965,33947,78972,39630,85053,0,0,160
73,2023-05-04 14:51:45.528647,33944,78971,39630,85055,0,0,160
74,2023-05-04 14:51:45.622600,33945,78971,39629,85053,0,0,160
75,2023-05-04 14:51:45.713017,33945,78972,39630,85051,0,0,160
76,2023-05-04 14:51:45.826782,33945,78972,39629,85053,0,0,160
77,2023-05-04 14:51:45.931263,33945,78971,39633,85054,0,0,160
78,2023-05-04 14:51:46.017887,33947,78972,39627,85052,0,0,160
79,2023-05-04 14:51:46.135287,33945,78971,39633,85054,0,0,160
80,2023-05-04 14:51:46.225660,33944,78972,39629,85056,0,0,160
81,2023-05-04 14:51:46.330090,33947,78972,39630,85054,0,0,160
82,2023-05-04 14:51:46.427435,33943,78971,39633,85053,0,0,160
83,2023-05-04 14:51:46.528213,33943,78971,39633,85054,0,0,160
84,2023-05-04 14:51:46.829748,33945,78972,39630,85054,0,0,160
85,2023-05-04 14:51:47.134883,33944,78971,39633,85056,0,0,160
86,2023-05-04 14:51:47.213014,33945,78971,39630,85054,0,0,160
87,2023-05-04 14:51:47.309414,33944,78972,39627,85052,0,0,160
88,2023-05-04 14:51:47.429958,33945,78974,39629,85053,0,0,160
89,2023-05-04 14:51:47.511923,33944,78970,39627,85052,0,0,160
90,2023-05-04 14:51:47.629996,33945,78972,39629,85054,0,0,160
91,2023-05-04 14:51:47.711536,33944,78971,39630,85054,0,0,160
92,2023-05-04 14:54:10.904516,33376,78472,39061,84462,40,0,160
93,2023-05-04 14:54:11.409027,33375,78473,39062,84468,40,0,160
94,2023-05-04 14:54:11.510236,33375,78471,39060,84470,40,0,160
95,2023-05-04 14:54:11.627512,33376,78474,39062,84463,40,0,160
96,2023-05-04 14:54:11.731969,33384,78471,39062,84470,40,0,160
97,2023-05-04 14:54:11.800033,33375,78472,39059,84468,40,0,160
98,2023-05-04 14:54:11.921586,33375,78474,39062,84466,40,0,160
99,2023-05-04 14:54:12.030426,33384,78472,39061,84462,40,0,160
100,2023-05-04 14:54:12.121909,33376,78474,39060,84468,40,0,160
101,2023-05-04 14:54:12.614934,33384,78473,39058,84464,40,0,160
102,2023-05-04 14:54:12.747884,33384,78478,39065,84470,40,0,160
103,2023-05-04 14:54:12.818034,33384,78474,39062,84463,40,0,160
104,2023-05-04 14:54:12.929043,33384,78474,39059,84470,40,0,160
105,2023-05-04 14:54:13.038853,33377,78476,39062,84470,40,0,160
106,2023-05-04 14:54:13.105641,33377,78474,39059,84462,40,0,160
107,2023-05-04 14:54:13.225245,33376,78476,39058,84466,40,0,160
108,2023-05-04 14:54:13.328426,33375,78473,39060,84463,40,0,160
109,2023-05-04 14:54:13.405096,33375,78472,39059,84462,40,0,160
110,2023-05-04 14:54:13.526775,33376,78472,39065,84463,40,0,160
111,2023-05-04 14:54:13.732451,33384,78473,39062,84466,40,0,160
112,2023-05-04 14:54:13.818878,33375,78472,39060,84466,40,0,160
113,2023-05-04 14:54:13.914457,33375,78473,39060,84470,40,0,160
114,2023-05-04 14:54:13.998451,33375,78472,39059,84466,40,0,160
115,2023-05-04 14:54:14.116346,33384,78474,39061,84466,40,0,160
116,2023-05-04 14:54:14.214155,33375,78472,39060,84462,40,0,160
117,2023-05-04 14:54:14.318078,33375,78472,39062,84463,40,0,160
118,2023-05-04 14:54:14.407552,33376,78472,39061,84465,40,0,160
119,2023-05-04 14:54:14.517805,33376,78473,39065,84466,40,0,160
120,2023-05-04 14:54:14.620828,33375,78472,39059,84463,40,0,160
121,2023-05-04 14:54:14.719220,33384,78474,39062,84462,40,0,160
122,2023-05-04 14:54:15.018331,33376,78472,39060,84462,40,0,160
123,2023-05-04 14:54:15.112253,33377,78474,39058,84466,40,0,160
124,2023-05-04 14:54:15.221275,33375,78472,39062,84466,40,0,160
125,2023-05-04 14:54:15.323436,33376,78471,39059,84462,40,0,160
126,2023-05-04 14:54:15.424318,33384,78476,39060,84463,40,0,160
127,2023-05-04 14:54:15.517841,33377,78474,39058,84463,40,0,160
128,2023-05-04 14:54:15.616555,33375,78472,39058,84468,40,0,160
129,2023-05-04 14:54:15.711538,33375,78472,39059,84462,40,0,160
130,2023-05-04 14:54:15.824711,33384,78474,39059,84464,40,0,160
131,2023-05-04 14:54:15.917617,33375,78474,39060,84468,40,0,160
132,2023-05-04 14:54:16.008271,33375,78472,39060,84468,40,0,160
133,2023-05-04 14:54:16.130656,33384,78474,39061,84468,40,0,160
134,2023-05-04 14:54:16.218353,33384,78474,39060,84466,40,0,160
135,2023-05-04 14:54:16.322719,33376,78471,39059,84468,40,0,160
136,2023-05-04 14:54:16.510711,33375,78472,39062,84464,40,0,160
137,2023-05-04 14:54:16.623130,33375,78472,39058,84463,40,0,160
138,2023-05-04 14:54:16.736737,33384,78474,39065,84465,40,0,160
139,2023-05-04 14:54:16.819399,33375,78474,39060,84468,40,0,160
140,2023-05-04 14:54:16.910967,33376,78472,39060,84468,40,0,160
141,2023-05-04 14:54:17.199312,33376,78472,39059,84470,40,0,160
142,2023-05-04 14:54:17.408027,33375,78472,39061,84466,40,0,160
143,2023-05-04 14:54:17.722875,33376,78472,39061,84468,40,0,160
144,2023-05-04 14:54:17.826977,33384,78474,39058,84463,40,0,160
145,2023-05-04 14:54:17.909599,33376,78474,39067,84465,40,0,160
146,2023-05-04 14:54:18.015111,33376,78471,39061,84468,40,0,160
147,2023-05-04 14:54:18.104839,33375,78472,39059,84462,40,0,160
148,2023-05-04 14:54:18.235861,33384,78472,39061,84470,40,0,160
149,2023-05-04 14:54:18.320157,33377,78474,39059,84466,40,0,160
150,2023-05-04 14:54:18.414908,33375,78472,39061,84468,40,0,160
151,2023-05-04 14:54:18.518975,33377,78474,39060,84466,40,0,160
152,2023-05-04 14:54:18.623626,33377,78472,39062,84466,40,0,160
153,2023-05-04 14:54:18.738024,33384,78473,39062,84466,40,0,160
154,2023-05-04 14:54:18.833818,33384,78476,39061,84463,40,0,160
155,2023-05-04 14:54:18.911147,33375,78472,39059,84468,40,0,160
156,2023-05-04 14:54:19.020719,33376,78472,39061,84470,40,0,160
157,2023-05-04 14:54:19.128952,33376,78471,39065,84466,40,0,160
158,2023-05-04 14:54:19.231018,33384,78474,39067,84465,40,0,160
159,2023-05-04 14:54:19.311825,33375,78472,39062,84462,40,0,160
