,timestamp,x,y,c0,c1
1063,2023-07-24 17:13:13.247559,0.5976733230446466,0.6003612884143533,39940,82441
1064,2023-07-24 17:13:13.350430,0.5977169863630939,0.6003742625070771,39941,82442
1065,2023-07-24 17:13:13.547941,0.5975738993847864,0.6004938555104387,39937,82440
1066,2023-07-24 17:13:13.648861,0.5976212566511491,0.6007511844938414,39937,82443
1067,2023-07-24 17:13:13.753012,0.5976212566511491,0.6007511844938414,39937,82443
1068,2023-07-24 17:13:13.867137,0.5976296609705583,0.6003483152583386,39939,82440
1069,2023-07-24 17:13:13.959757,0.5977727234216167,0.6002287538565743,39943,82442
1070,2023-07-24 17:13:14.048555,0.5975107918614461,0.6001509430901579,39937,82436
1071,2023-07-24 17:13:14.151824,0.5976380592899616,0.5999457424752501,39941,82437
1072,2023-07-24 17:13:14.250097,0.5971265641443029,0.5996319657379028,39930,82424
1073,2023-07-24 17:13:14.347557,0.596904933295659,0.5993234395925405,39926,82417
1074,2023-07-24 17:13:14.454591,0.597004324734237,0.5991911356757944,39929,82418
1075,2023-07-24 17:13:14.764275,0.5993454476363237,0.5920902820251717,40018,82410
1076,2023-07-24 17:13:14.850584,0.5997863450067732,0.5868201182092091,40053,82377
1077,2023-07-24 17:13:14.951020,0.5995319480671035,0.5811650813915605,40073,82326
1078,2023-07-24 17:13:15.056723,0.5992296869921777,0.575090681156665,40094,82270
1079,2023-07-24 17:13:15.162219,0.5990738841005671,0.5708873492121913,40110,82232
1080,2023-07-24 17:13:15.269812,0.5987383382209863,0.5676557933548804,40117,82198
1081,2023-07-24 17:13:15.351722,0.5985431242716407,0.564331843506602,40128,82166
1082,2023-07-24 17:13:15.458333,0.5984296179116773,0.5608257787414126,40142,82134
1083,2023-07-24 17:13:15.560890,0.5986332081207131,0.5579559514315235,40161,82114
1084,2023-07-24 17:13:15.657255,0.5991247140878392,0.5541416786273325,40192,82092
1085,2023-07-24 17:13:15.765452,0.5996616692035257,0.5499998648462155,40226,82068
1086,2023-07-24 17:13:15.852000,0.6001569289348956,0.5460994770849947,40258,82045
1087,2023-07-24 17:13:15.952989,0.6003922066259707,0.5417216753637092,40286,82012
1088,2023-07-24 17:13:16.058929,0.6007243254245733,0.5382715371486759,40312,81989
1089,2023-07-24 17:13:16.160252,0.6013309032639891,0.5350633330608919,40344,81974
1090,2023-07-24 17:13:16.256578,0.6017849288924317,0.530555559039988,40379,81944
1091,2023-07-24 17:13:16.347453,0.6020914404413571,0.5263294130831984,40409,81913
