,n_points,MAE,RMS,STD,Coplanar,MAD
0,8.0,10.736724958226718,11.988896655180353,5.334452191180099,33.275471576167384,97.98284705962855
4,8.0,9.35129257788095,10.036045694370797,3.643561486014371,35.64417896030042,102.24612467535735
8,8.0,28.497045070482656,31.248200086097736,12.820625213759213,30.715202713467917,105.40290967494485
12,8.0,17.04935659927872,18.504513578714743,7.192806290695551,38.020178775605814,91.26393984931866
18,8.0,48.00435328813363,50.63822025776692,16.118666702372416,37.73816893128621,88.6801231960638
22,8.0,6.819752996402424,7.298864996814627,2.600845883512888,43.548552715508904,94.68419885067246
30,8.0,6.833749251663397,7.395157074608119,2.826343808441657,40.63671282849792,105.45034097770711
38,8.0,21.776969738776142,24.04012809254493,10.182894858653704,37.77154600395963,106.24771704940221
41,8.0,9.553521240496414,10.182686596100764,3.5238243744253266,40.40864756730676,111.32805025355478
43,8.0,5.59793775096933,6.159909613282354,2.5705212273157345,31.115966987680235,90.71689274511674
44,8.0,93.59139829523234,100.61558242800851,36.934341641222694,30.570270929687943,94.59290529225524
49,8.0,8.473786676325568,9.000147750251333,3.0327543406087796,30.665314593187013,107.06773964456406
50,8.0,5.834790507235883,6.422238887905294,2.683350903253812,33.559166136908715,118.95518897410255
53,8.0,7.077354675694374,7.60595138315348,2.785955354509709,36.44594998887023,94.97213937929848
58,8.0,27.70529774009084,29.54974485912639,10.27637574110562,32.357967215412714,87.94688724531674
59,8.0,49.11244068770925,53.46554854521552,21.13132866000239,32.22542758660821,83.4386288910189
61,8.0,10.548001121805699,11.798396460727428,5.286003346469922,37.449844116445874,105.48089369847096
62,8.0,14.587639869808587,16.178567231842997,6.996199018326663,33.01052729613048,90.15681457832353
65,8.0,6.471243197727433,6.841375512151331,2.2197816050526966,31.523961367763647,90.56622785402641
66,8.0,47.49881489085963,53.00184899624904,23.51719755806453,32.61775176174626,99.42311118814843
68,8.0,4.975109150525677,5.496110824017195,2.335706130966531,34.53109677893243,110.6553372895431
71,8.0,24.492999421410776,26.90126287382789,11.12523813451029,32.130024122990996,104.35277966754401
74,8.0,88.94993132890882,97.70457774920844,40.42393139878313,30.46888479363572,99.12656954324214
78,8.0,24.14892572263504,25.83800662173205,9.188687209135212,32.80885635500829,99.26906853755702
88,8.0,5.653171502416085,6.212994160507614,2.577391782941116,34.90572600512236,96.97615648729123
93,8.0,153.07802096993694,160.76822942443277,49.1278239717026,38.11826235104916,112.40979237975617
97,8.0,11.30823362420025,12.07357150341476,4.230245991496926,32.664909344063524,95.58956199023754
99,8.0,5.407169713672334,5.913921274129179,2.3951994748125527,36.152266957964365,88.70906113594728
104,8.0,20.56911398693094,22.36117223534507,8.771178571401292,33.03319999034064,89.27826842960465
107,8.0,12.153599051030607,13.147929052738817,5.015781941297025,33.028355336760136,94.00459939664479
109,8.0,6.651022063544324,7.320669659017221,3.0587758608145688,33.54724674374455,106.87211733237581
126,8.0,13.124791653006447,14.49316679295217,6.147497682269086,42.06935968814371,108.19101475963075
127,8.0,14.3784785329751,15.528976237644393,5.8658723192802675,30.801211312129517,108.78489127749472
131,8.0,10.041265462241613,10.906209880893305,4.25657161138968,32.90462990564474,110.44700681047033
140,8.0,12.37418080444756,13.184802989528812,4.5517775968877725,35.61215203256609,93.09352109930171
141,8.0,9.650828183592985,10.215338840088396,3.3488300925227423,35.9390642197464,108.24511697614969
143,8.0,19.374212209301234,21.56419762166712,9.468607095833947,30.23809688755238,102.53891590003295
150,8.0,6.133955101583065,6.611780328883625,2.467839931838275,42.27961004030064,108.20001706395416
153,8.0,16.938158112679986,18.458420577914815,7.3356724286899855,32.67988243479243,90.24006176779858
159,8.0,7.591584152854534,8.22821936655099,3.1735538429673285,35.071158350327394,103.63582072308158
163,8.0,20.483827734883235,22.95531697258502,10.361437093351404,30.2915919886958,99.21738745596853
166,8.0,13.344423564580968,14.7586738891291,6.304348871589928,41.32057232770753,120.21438607768627
167,8.0,7.083134420465238,7.6073695250259075,2.7751176320857955,33.32146242809967,100.16417772991113
169,8.0,6.935995822778089,7.425862238114482,2.652431323495394,35.3595986479302,107.90832410087454
174,8.0,14.941218412021941,16.68468996263346,7.425555300006742,30.162983595500307,95.97596012685197
176,8.0,17.34683325447164,19.156575927704246,8.127839646268534,31.211029069898114,92.23921768510921
177,8.0,121.06732370367496,130.32206949398056,48.23427130602767,30.558001473539793,108.79913474777665
179,8.0,6.357500844579962,6.79207190985088,2.390486109507946,33.454887774624936,99.90744082407528
189,8.0,23.438825297486662,25.18156200489405,9.20502763060617,33.60154636577913,105.01815452615308
190,8.0,18.1534420120356,19.747858442737197,7.773702862217436,33.00052611827324,100.85737191676151
192,8.0,6.126256397544053,6.728740681371145,2.7829720998762415,42.439429350341605,118.5792193989954
195,8.0,9.151251938699293,9.82891668942114,3.5863897225530126,33.462640140757735,94.31104162567598
196,8.0,17.485413794814257,19.333146308480867,8.248081632067333,31.33775666470641,90.71068443785074
200,8.0,22.293383788923798,25.13758564559804,11.614785892539137,31.83609960433792,103.69617652346147
203,8.0,20.50328293793097,21.92885106362164,7.777525167921256,31.643472079025415,106.2610638216139
204,8.0,9.80506088570134,10.803165326082024,4.535323813174814,33.185219103432956,121.39438061793453
205,8.0,14.509858050558355,15.373426033329059,5.079984975852445,39.26916285784041,108.54305332310241
206,8.0,7.590565383212537,8.18483329984375,3.061831691880966,35.99104675002908,109.42272279378281
209,8.0,6.444371217088127,6.877726014747976,2.4027473338466474,32.69946708569598,104.592480423811
214,8.0,18.332774249198415,19.835196626399583,7.572609427130173,33.83952350962404,114.96967032893687
219,8.0,28.799333883395043,30.961013367502478,11.365857495824988,35.11787144913146,90.91658968710658
222,8.0,16.98204051908424,18.959514651258168,8.430509807802506,32.731528964342274,112.21917910858218
225,8.0,17.67902392528846,19.11655196157968,7.2728723314007215,35.85392763369712,101.78746831476008
231,8.0,8.005809437002945,8.803421936365652,3.661591600394368,34.37956835062876,103.84185306592244
241,8.0,16.621391469361956,17.890218874969808,6.617346674955725,30.20005552840972,103.31838843586982
242,8.0,12.747553613660996,13.944693925583525,5.652819256357356,34.12297892396337,97.90588299609458
246,8.0,89.73894673235904,98.37005578109509,40.293787532851574,30.323588743508317,105.73263742635982
248,8.0,16.292059189327556,17.547318958371672,6.517454257474886,34.92985096810946,108.05251475312606
254,8.0,19.415932532055297,20.66490874222453,7.075310398501576,32.94047828427681,101.0185345439898
261,8.0,123.16302277360074,129.87904359502764,41.22421359381639,31.574562317373545,91.1640817443805
262,8.0,159.48405816021676,171.2466958244615,62.371997110436034,32.424549822661376,88.15822053948344
268,8.0,14.576383759828257,15.889033893463353,6.323799060204418,37.67929395605309,112.35614074618695
270,8.0,7.777268290376919,8.371561872916741,3.097926101696247,41.55980872958397,103.50117870125209
272,8.0,32.64409712151051,36.50753472586004,16.345122051586696,34.81877390135066,110.69320408929715
282,8.0,59.81964889596269,66.03274463943593,27.9630643989657,34.0391863497747,105.8064114958419
285,8.0,7.223275341731088,7.758208686856844,2.830917760437528,37.06879384957749,99.72879482216904
292,8.0,13.316942657695662,14.36811283345375,5.394599581665346,31.06953623327982,89.65563884736258
293,8.0,35.627336062835596,37.80518270340298,12.646136338955612,31.081053209585004,106.29183622920175
295,8.0,6.332177504736956,6.8833961178371785,2.699012812781591,32.11608193649118,121.26429779068015
299,8.0,49.12666031599989,54.25374104268782,23.022590282663458,34.0170353028728,99.5281785844193
300,9.0,11.160319979196343,12.462023261148058,5.545203488001701,35.75363689810674,113.97238954219513
301,9.0,78.53743662790934,85.00621373041315,32.52579623464742,41.60247503681852,111.22287304044715
302,9.0,7.9558464901592165,8.560236318800943,3.159454455873668,35.82508635809523,112.32353751568596
310,9.0,23.673983674120677,26.372561492587398,11.621294965612535,31.720130870212213,106.67773616968549
317,9.0,9.107840812891624,9.728203494445856,3.4183591028992573,32.95474002827669,107.46568449576176
322,9.0,58.31963293076273,64.19391216696452,26.8268293713784,30.86164699875783,104.9849200257452
325,9.0,9.318123587523516,10.33480865885684,4.469993604337729,35.3729919309994,114.99113280481772
326,9.0,10.658869628380925,11.484152077066248,4.2748388477653405,33.05956470870076,101.53321021930309
327,9.0,18.561976815942376,19.88767959926633,7.139524951107884,36.61724896738354,89.98680280494908
328,9.0,7.050128800254336,7.625484627764828,2.9058044855258336,33.496336641283655,97.1594897823814
333,9.0,11.780961870181088,13.101098439132254,5.731292849364175,35.0402980730025,93.22400614851112
336,9.0,50.32000618428705,53.65237668823835,18.61382555816872,31.58710939265866,107.42791556097707
344,9.0,38.08799854056215,42.28423972261021,18.364675224280518,39.10711122332199,99.37385409493396
347,9.0,18.515942591650184,20.375957965071077,8.505265012747001,30.260747279039784,110.4169107097817
350,9.0,8.70262360959281,9.22415024607951,3.0576608824404503,37.99076145147924,101.45726650807788
352,9.0,134.4303163342499,144.369960223234,52.64195536956872,43.306987372794325,108.82504469055195
357,9.0,30.857159092171553,33.06958100734287,11.89255736843958,30.267832695172203,100.69212855971007
363,9.0,7.874279294595565,8.636654443210338,3.547890297363839,31.04916292577127,93.03702765395501
368,9.0,6.497346794036786,6.9233638354654365,2.3911192852408227,31.298210281444465,107.13953725282009
378,9.0,5.837066678282978,6.2488130578751,2.230766062488151,38.822068676202335,119.82357966870774
382,9.0,7.3580959473138785,8.017084765131646,3.1830916043100337,33.22170599669951,107.00943770358869
383,9.0,14.461421381862493,15.97967787783397,6.7983377891619,35.005832695902605,115.98204918837708
388,9.0,10.716177523189621,11.438295026323757,3.9997665432757925,32.75716490187679,93.79180626075932
398,9.0,115.79413023924754,123.9173327783239,44.12736979506084,31.210162503346275,107.3207826793897
399,9.0,40.922556845769336,45.30116135831221,19.430377289610615,42.18682116129178,103.185715228765
400,9.0,140.83137837418178,150.2775875535018,52.43926187627403,34.7928221790005,91.21679096553879
402,9.0,26.57359937845595,29.699631532183542,13.263179453690451,31.41314746644126,100.4767316411502
403,9.0,126.5223849776927,137.06117753820797,52.70533642541981,30.68376687403582,96.2147082683552
406,9.0,20.727857292585703,22.592637374391497,8.987947239996084,30.955077546701943,110.07305511424394
409,9.0,40.21847195158622,42.691148859180544,14.31812504471815,36.24303637996785,85.9954179953735
413,9.0,7.982648749525856,8.552067484262578,3.0684160730048524,34.4881777585763,88.6717216241208
415,9.0,10.713533659192862,11.692984942110918,4.6846657714050775,41.56432760105235,104.83658214859113
417,9.0,5.906574291662878,6.258075727101195,2.0678229961000834,34.660995470326554,88.9078194482585
423,9.0,94.32341503973346,102.82307155355305,40.935039012431346,31.578049938331603,92.64039587757459
424,9.0,10.63591853982997,11.798922621399388,5.108014471384287,32.93934740234344,104.26365231587395
440,9.0,35.39984419092715,38.04756532822227,13.945187652499431,39.261339004605524,104.31215226476387
457,9.0,9.93727285774811,10.637243465685932,3.7949382997541368,31.089252407494623,99.99319081731109
461,9.0,9.791567113504032,10.556435369851839,3.9450654214607423,38.1376658787419,104.45426237985372
463,9.0,7.614789062825499,8.23260840267567,3.1290299839533637,34.71475336313663,122.47535919841746
466,9.0,14.670894378324023,15.622903731281164,5.370286690386231,33.30461496063159,117.29532894916458
470,9.0,5.43182723094722,5.971245170276083,2.4801253630987503,39.37919905672686,111.55926295768002
473,9.0,19.49668573840877,20.98230148707863,7.754754729350899,35.56213631791452,104.75173927348845
479,9.0,9.161350840432888,10.16167686061479,4.396513095403412,30.30420543313516,92.57610818175264
482,9.0,31.69336238539944,34.675524590562645,14.068503343940405,34.733392049854736,95.05579646240236
483,9.0,9.152485290381154,10.14449237757085,4.375241548526172,40.12554132206779,101.30265383300144
485,9.0,9.58897975127419,10.128641742696326,3.262031710689526,33.26000147410921,92.95702556245728
486,9.0,20.316170526773924,22.5098621761624,9.692631753908183,33.44699802517249,93.20192136052825
489,9.0,8.723805132149574,9.650682975124797,4.126851814960692,30.962996054616116,99.87805924822982
495,9.0,6.433934082929173,6.887342656547662,2.4576372973291565,37.22198664922206,111.65091384720435
501,9.0,14.396994937581773,16.015001035229893,7.014755514318322,30.756621668612425,92.43541545052578
502,9.0,17.43814231752041,18.562337195962712,6.361725763542844,31.253124798356207,94.30706217505524
512,9.0,6.617143278875285,7.1942696069533705,2.8232835501183104,31.978455824949336,111.73547059883748
513,9.0,6.416530143767467,6.974941611765155,2.734584319719642,36.801228087810074,110.85552663263574
514,9.0,10.955937869791299,11.843072573254982,4.4973095700270935,37.114990672753216,98.76540793619591
515,9.0,35.54112814046475,37.84147268445649,12.99250805008529,31.806157638516513,88.64456802032043
526,9.0,5.5416487828985295,6.1142930772324116,2.583545742055179,41.54403785112124,119.61347352063412
527,9.0,26.06120111494148,28.37131544530814,11.213622810838311,36.26227086953616,113.04875372835856
534,9.0,23.83251065594219,26.494266533332848,11.57400513969485,39.02779470729761,97.1293614386073
536,9.0,6.839034481790874,7.316189329574022,2.598890852469226,31.6804139868985,111.72051794319549
543,9.0,41.94271159512487,45.18762697993248,16.814594140974673,31.613888521622584,107.43137413170366
544,9.0,18.874140074246522,20.244422472561023,7.321439592406347,37.41794872816023,99.04746834686351
545,9.0,15.075743409275187,16.107440541126685,5.672001537696124,30.24526473195077,101.77973426550689
548,9.0,8.605541508852227,9.213972911533546,3.2927119755446776,32.81438588097896,101.90174519584943
554,9.0,62.829310712048894,66.34396748140671,21.307269572208664,36.29420573179506,100.24728280911799
555,9.0,12.271189518630889,13.666791479073398,6.016568551119206,32.155905462411816,91.28525316621773
556,9.0,8.859269759203054,9.474517315710825,3.358543985029008,33.86549314163308,102.02837227524908
557,9.0,12.681534350380828,13.47152413217062,4.545398658398018,30.03579545679515,100.99484133826766
559,9.0,12.258354524693086,13.42003215748093,5.461685404228154,38.03112592265995,103.02627845525964
560,9.0,16.1775079723624,17.15293727852658,5.7018850466506095,30.04472971399004,91.63745479153732
563,9.0,42.44170036533247,46.54505905481812,19.108756958940155,31.874137530038563,93.34848226791175
567,9.0,44.12966342659786,48.05568453271161,19.024237744590163,38.45963837732612,118.07902727495876
569,9.0,5.703530736903322,6.1661534407337015,2.3433278447266193,42.76196042317195,116.59906163113459
570,9.0,6.470821971807166,7.124629298845776,2.9814100112445585,42.38518919078026,104.84681497934662
580,9.0,134.6885769890956,143.6116100706379,49.83253731984177,30.967968764207438,85.8624582301185
584,9.0,7.36968852306452,8.135488123580648,3.445846497151733,37.075961022369775,99.78807240622199
585,9.0,9.607995604053047,10.325912761852575,3.782974337460829,30.144559531790378,88.93509941692875
593,9.0,27.75766477839366,29.607459721427563,10.301151256353803,33.41885145490146,97.1823040648417
596,9.0,7.267201591731655,7.877578364557923,3.040398315169243,36.07044448016258,98.04825907939528
600,10.0,5.691105597344845,6.207003960779651,2.4775421790565844,35.653848331758056,114.31909531596106
602,10.0,13.250434755065791,14.204329655025813,5.117514997573556,31.667856269513415,115.2604241346728
604,10.0,6.60741423964229,7.003739983260594,2.322595707155122,38.00276131967435,96.04186570667457
606,10.0,93.66847497047313,101.01635884891047,37.8222362083167,31.409128166948573,103.3627327775658
607,10.0,6.51773126549796,7.133399953078528,2.899064338943016,32.904365782708396,93.75191571238824
612,10.0,20.053491197931148,21.723269719371814,8.35212177084807,32.86585450345409,107.79450825804997
613,10.0,5.291438219231287,5.766896902497041,2.292985271668441,33.618422547689725,109.36155257637215
614,10.0,20.128042606435883,21.964976709489257,8.793298737215016,30.156794022348247,106.55858393047671
615,10.0,11.628564488249065,12.396635244860857,4.2957017280950955,33.22887237254169,94.76141259071312
618,10.0,7.535839118711479,8.024046268397393,2.7561653241922808,37.10277170655478,83.20957219997051
622,10.0,94.99189403074074,109.11027008293307,53.68045366819397,40.54290910451469,121.08356419836392
623,10.0,141.56731693226985,156.56397809928293,66.86534240449993,30.48020806755975,83.1845405696767
625,10.0,58.68326107740674,63.32084774863139,23.78664812297596,32.9246139457824,112.28628123169047
627,10.0,10.98596590226279,11.810237514988694,4.3347737374360955,30.731010371268233,94.81428335268023
632,10.0,51.58535689281559,54.47918620961234,17.519494407729297,31.595170762081192,106.1987601728825
634,10.0,34.99860897843489,38.08721808258943,15.024431797753415,32.54293483965656,69.01948404550077
635,10.0,9.405493559360538,10.410223892400703,4.4620009406921755,32.81428078115171,85.1373085647222
637,10.0,12.113581247623882,13.17214114390852,5.173630415120771,30.829551478771663,92.55460120294207
640,10.0,7.869174547350703,8.477859698756834,3.154393287960961,30.062061973209154,102.10327992860407
645,10.0,8.283689521370377,9.19966595658164,4.001792301735039,36.878059062664214,91.4938883440523
647,10.0,7.550637338353436,8.05886213881461,2.8165821055106024,34.81361695545861,95.02498481022126
650,10.0,5.858897630353346,6.242513799270152,2.15459905576843,45.845784623463615,94.28554114484713
654,10.0,16.41769396238066,17.63793808844544,6.44640868774577,38.03815538527198,88.52367292042206
655,10.0,7.645369919833263,8.294021302795619,3.2154483606701323,32.37809917041572,94.5286299310766
656,10.0,7.6363711625563235,8.126664457327598,2.780019904545619,31.49003435322636,95.1831638776115
666,10.0,21.41393985155697,22.900314381821122,8.115884352314508,32.20480754600457,83.81457096588274
668,10.0,31.88528020056609,34.521672832826816,13.231583492088962,30.028616192324,105.56889622431363
670,10.0,11.66115376455191,12.611595899621168,4.803107745493355,33.88820938030592,101.44965621398384
681,10.0,5.174211684608992,5.704348186892656,2.4014832250426634,33.03594731021294,103.03567257022556
682,10.0,123.99576695513223,133.51610582421355,49.51363743122826,33.959360252633175,99.24833667755716
683,10.0,12.08098130063173,12.936675774438529,4.62682082068575,31.97824407638234,92.31483458795125
684,10.0,24.900324237924526,27.1360560055059,10.786073816740785,46.32530160512162,106.63685837421421
